PredictFile,Created,Acc6m,Acc3m,Acc1m,AccSD6m,AccSD3m,Prev6m,Prev3m,Prev1m,PrevSD6m,PrevSD3m
BAT-USD-predict-kknnLDF-ensamble.csv,2020-11-07T20:14:46.118707Z,0.586,0.58,0.588,0.135,0.124,0.629,0.709,0.588,0.108,0.146
BAT-USD-predict-kknnLDH-ensamble.csv,2020-11-07T20:59:18.814372Z,0.613,0.47,0.294,0.131,0.152,0.613,0.549,0.529,0.052,0.045
BAT-USD-predict-kknnLDJ-ensamble.csv,2020-11-08T08:08:10.613218Z,0.608,0.684,0.706,0.143,0.063,0.519,0.473,0.471,0.156,0.107
BAT-USD-predict-kknnLDJA-ensamble.csv,2020-11-08T10:14:32.921856Z,0.602,0.611,0.588,0.1,0.059,0.612,0.463,0.471,0.091,0.01
BAT-USD-predict-kknnLDJB-ensamble.csv,2020-11-08T11:02:21.285006Z,0.575,0.57,0.529,0.113,0.042,0.584,0.483,0.529,0.094,0.041
BAT-USD-predict-kknnLDJC-ensamble.csv,2020-11-08T12:37:27.553401Z,0.591,0.622,0.588,0.1,0.077,0.623,0.474,0.471,0.109,0.009
BAT-USD-predict-kknnLDJD-ensamble.csv,2020-11-08T13:17:08.686066Z,0.586,0.57,0.529,0.135,0.042,0.52,0.5,0.647,0.157,0.133
BAT-USD-predict-kknnLDJF-ensamble.csv,2020-11-08T13:53:05.529241Z,0.63,0.623,0.588,0.11,0.067,0.476,0.486,0.706,0.153,0.195
BAT-USD-predict-kknnLDJG-ensamble.csv,2020-11-09T16:39:02.335742Z,0.58,0.589,0.588,0.108,0.023,0.513,0.462,0.471,0.092,0.059
BAT-USD-predict-kknnLDJH-ensamble.csv,2020-11-09T18:58:29.582331Z,0.623,0.509,0.412,0.092,0.087,0.557,0.482,0.529,0.073,0.048
BAT-USD-predict-kknnLDJI-ensamble.csv,2020-11-09T19:40:22.159981Z,0.624,0.58,0.529,0.126,0.059,0.525,0.493,0.529,0.069,0.032
BAT-USD-predict-kknnLDJJ-ensamble.csv,2020-11-09T20:18:59.849527Z,0.618,0.5,0.353,0.121,0.128,0.476,0.395,0.235,0.095,0.139
BAT-USD-predict-kknnLDJK-ensamble.csv,2020-11-10T08:08:24.335857Z,0.514,0.431,0.412,0.14,0.141,0.503,0.398,0.176,0.125,0.193
BAT-USD-predict-kknnLDK-ensamble.csv,2020-11-08T16:36:37.417417Z,0.597,0.579,0.588,0.137,0.059,0.488,0.456,0.353,0.138,0.098
BAT-USD-predict-kknnLDL-ensamble.csv,2020-11-08T17:21:39.394912Z,0.547,0.631,0.647,0.065,0.027,0.534,0.435,0.647,0.174,0.211
BAT-USD-predict-kknnLDM-ensamble.csv,2020-11-08T18:06:57.212513Z,0.649,0.499,0.529,0.106,0.057,0.529,0.465,0.529,0.106,0.087
BAT-USD-predict-kknnLDN-ensamble.csv,2020-11-09T10:13:29.544734Z,0.634,0.557,0.588,0.071,0.037,0.569,0.539,0.471,0.114,0.071
BAT-USD-predict-kknnLDO-ensamble.csv,2020-11-09T14:36:05.602249Z,0.607,0.492,0.588,0.094,0.101,0.542,0.66,0.706,0.163,0.175
BAT-USD-predict-kknnLDP-ensamble.csv,2020-11-10T14:20:58.140792Z,0.668,0.562,0.471,0.125,0.121,0.612,0.586,0.353,0.076,0.227
BAT-USD-predict-kknnLDQ-ensamble.csv,2020-11-10T17:14:17.239723Z,0.667,0.449,0.529,0.236,0.129,0.515,0.39,0.412,0.173,0.155
